qua151,qua,gx,gy,meanelev,convex,slope,aspect,AN,AP,AK,C,water,pH,TN,TP,TK,rongzhong
1,401,65,5,715.3225,-3.144821429,22.96521752,242.0287114,204.3656361,12.25388603,248.1157442,22.43922291,12.9136071,5.911121348,2.16775527,0.451715434,10.26559179,0.973651584
2,601,105,5,719.035,-2.848571429,14.06623277,163.3139972,168.6837885,6.940072458,196.8333268,17.37884215,16.64017955,5.594775088,1.799880712,0.385783639,15.15777135,1.134790882
3,1501,285,5,750.07,2.9675,33.01395385,332.5067633,169.5582878,2.948028067,183.9621529,15.98116888,10.02816516,4.853534244,1.739445404,0.307866203,12.66513983,1.172640259
4,1701,325,5,766.9625,7.233392857,24.50136618,303.3136454,173.6735858,3.25393639,162.2364042,18.43581705,11.53600191,4.503686742,1.843035713,0.30817205,10.97629887,1.128087811
5,202,25,25,715.7275,-4.485833333,10.03901734,114.4439548,104.63,4.95,181,11.01,18.32075873,5.63,1.18,0.316,14.75,1.29
6,802,145,25,724.6525,-3.501315789,31.57471881,171.5963637,162.44,3.89,175,17.23,15.44451868,4.79,1.91,0.333,10.31,1.06
7,1102,205,25,727.575,-8.823289474,27.00785684,184.0111261,98,2.03,137,9.27,12.30389697,4.88,0.9,0.246,11.4,1.33
8,1302,245,25,734.1625,-7.092236842,13.56259228,227.5327594,145.6088673,7.763713717,307.3475802,15.30145304,12.44023022,5.618309323,1.520850418,0.323442953,10.87036045,1.243917211
9,1902,365,25,775.285,6.186833333,38.67004411,305.0712593,168.8448563,2.81230172,157.5879829,16.82784843,11.43374696,4.635368635,1.697432194,0.261428655,8.774750219,1.179838146
10,303,45,45,719.3275,-1.926041667,31.72994663,275.5975292,207.9125436,5.246115119,208.4373552,22.78911948,11.79881211,5.114075371,2.161676972,0.413933548,11.73881313,0.996807204
11,503,85,45,719.46,-1.815416667,26.52987554,115.7584881,190.7907886,9.081765826,261.2829277,19.92973543,12.85883263,5.846037894,1.870108402,0.410617257,9.06741657,1.071600817
12,703,125,45,729.155,3.208333333,24.26116154,243.6657463,183.4920025,2.970967038,179.40071,17.17028613,14.34186626,4.868957542,1.812704084,0.31626109,12.16462818,1.119082012
13,1403,265,45,740.715,-7.051145833,29.94658924,162.5269874,162.4547421,5.125552291,155.6422723,17.18339868,11.79830196,4.887532123,1.779748552,0.296035239,7.950935745,1.118115618
14,1603,305,45,747.9325,-6.813854167,26.38507803,334.4373299,179.1082224,3.798853616,205.526078,18.36826574,8.430081198,5.301104092,1.855907505,0.334566807,12.48978527,1.159747755
15,1803,345,45,758.59,-7.104895833,29.36837235,308.3323594,174.8941234,3.990507769,216.806368,16.95353657,12.00806821,5.375666651,1.763524878,0.330217963,11.56130866,1.168002191
