number,PC1,PC2
1,-0.1790408,0.181962
2,0.212425,-0.349108
3,-0.6541351,-1.020819
4,-0.6164474,0.286624
5,0.225554,-0.47298
6,-0.0112688,-0.297889
7,-0.0301701,-0.829944
8,0.2928295,2.058398
9,0.3714321,0.703138
10,-1.3114969,-1.036023
11,-0.0869158,-0.035509
12,-0.2457288,-0.569439
13,-0.8917601,-0.761057
14,-0.7318453,-0.658465
15,-0.6799301,0.276853
16,-0.5225787,0.369703
17,-1.1563991,0.479032
18,-0.4228537,0.51915
19,-0.4151523,-0.460599
20,-0.1951874,0.591591
21,-0.2990386,0.643391
22,-1.2090114,-0.429818
23,-0.1693053,0.082372
24,-0.2064143,0.306913
25,-0.6000537,0.463269
26,-0.8878187,0.127187
27,-0.5583139,0.199438
28,-0.633677,-0.13534
29,-0.6236138,0.797009
30,-1.8532763,-0.645033
31,-0.6645284,0.351221
32,-0.8347242,0.083194
33,0.0976865,0.984983
34,-0.0008533,-0.153478
35,-0.3092499,0.279588
36,-1.2874474,0.447082
37,-1.2503849,-0.055967
38,-0.3613288,0.591847
39,-0.5270718,0.597894
40,-0.2059873,0.315697
41,-0.2979905,-0.17969
42,0.2881064,0.411503
43,0.1228519,0.34671
44,-0.7918361,0.292147
45,-1.0766348,0.05126
46,-0.4887223,0.058091
47,-0.4808248,-0.296918
48,0.5758324,-0.252183
49,-0.0065777,0.11021
50,-0.1697111,0.034171
51,-0.0929613,-0.072024
52,-0.0467606,0.639598
53,0.2303241,0.685314
54,-0.4236868,0.319313
55,-0.3590376,-0.495211
56,0.2244343,-0.293741
57,-0.1166138,0.170552
58,0.6777997,0.99856
59,0.4446171,0.899423
60,0.2199303,0.118403
61,-0.4816637,0.238912
62,0.1905783,-0.748565
63,0.2114305,-0.056283
64,0.2245863,1.092239
65,-0.2969684,-0.368813
66,0.2734602,0.34157
67,0.3066133,0.0194
68,-1.1782822,-0.648794
69,-0.9247918,-0.096614
70,0.3759402,-0.010846
71,-0.8156244,-0.314838
72,0.5225335,0.046421
73,0.4428082,-0.02842
74,-0.0853895,0.00963
75,-0.1828408,0.7054
76,1.047688,2.163874
77,0.2769022,-0.084137
78,0.216115,0.424884
79,0.5729289,-0.426973
80,0.1057135,-0.374147
81,-0.5579273,0.687743
82,0.01213,-0.642544
83,0.2287781,-0.408965
84,-0.0385005,0.067102
85,0.6145078,-0.436946
86,0.4688815,-0.302777
87,0.5929336,0.029096
88,-0.2040825,0.091445
89,-0.2178559,1.196641
90,0.2021545,0.44909
91,-0.0895568,-0.23792
92,0.5863458,-0.406613
93,0.5577833,-0.404809
94,-0.5064767,-0.154263
95,0.0578937,0.303369
96,-0.8907947,-1.35442
97,0.5569181,0.119247
98,0.1220987,0.390322
99,0.8459788,0.184827
100,0.4830284,-0.533834
101,0.7050425,0.094086
102,-0.0373803,0.864244
103,0.3029074,0.283514
104,-0.343281,-0.344605
105,0.6147459,0.065593
106,0.3581798,0.230522
107,-0.0133518,0.376184
108,0.7086804,-0.297156
109,0.6034433,-0.514363
110,0.5684765,-0.623784
111,0.6597627,0.076898
112,-0.124548,0.412275
113,-0.1348404,0.230591
114,0.1682716,-0.408149
115,0.4147981,-0.186073
116,0.1268172,0.129647
117,0.5967462,-0.625164
118,1.0161952,-0.006055
119,0.4434113,-0.097322
120,0.3117618,-0.192637
121,-0.059721,0.713737
122,0.4096693,-0.241384
123,0.5138684,-0.310685
124,0.3289537,-0.023987
125,0.2855396,-0.706437
126,0.0748125,-1.138849
127,0.7304803,-0.67912
128,0.8915104,-0.280269
129,-0.1119599,-0.549691
130,-0.094189,0.4505
131,0.3694138,1.128654
132,0.2185317,-0.606581
133,-0.2450242,0.415998
134,0.3802559,0.35135
135,0.5698147,-0.159525
136,0.7994733,-0.647224
137,0.9342369,-0.665814
138,0.9276115,-0.378808
139,0.5753457,0.078448
140,-0.0106472,-0.981748
141,-0.0486398,-0.047968
142,0.5670453,-0.473
143,0.5457763,-0.447506
144,-0.1554144,-0.187258
145,-0.0769553,0.319696
146,0.3542715,-0.657607
147,-0.2349451,0.428406
148,0.3124066,-0.621484
149,0.636899,-0.557033
150,1.0403095,-0.884303
