SPcode,LDMC,WD,SDMC,LA,SLA,Chl,LT,C13,C,N,CN,tlp
BBSP4,0.553033998,0.668577198,0.586851476,14.5934954,180.0213139,54.12222222,0.105722222,-36.241462,43.84474038,1.928114242,22.73970049,-1.778144768
BBSP5,0.320583367,0.442048355,0.447303988,54.39351061,241.3526375,46.11111111,0.150333333,-39.488462,43.3193032,2.094272597,20.68465359,-1.432343674
BBSP6,0.391797595,0.576086957,0.448392555,36.38222122,180.0938801,66.66666667,0.181333333,NA,NA,NA,NA,-1.923347654
BBSP7,0.285765318,0.524541057,0.468158414,71.59527715,188.4447794,48.64444444,0.126833333,NA,NA,NA,NA,NA
BBSP8,0.27412361,0.190304269,0.179492775,20.90374162,218.1445922,47.57777778,0.140833333,NA,NA,NA,NA,NA
BBSP9,0.557503502,0.733933605,0.624948225,12.7396828,215.7183787,51.76666667,0.067722222,NA,NA,NA,NA,NA
BBSP12,0.15268583,0.404675389,0.366096982,68.53266949,413.481531,32.68888889,0.115444444,-35.377462,43.03329723,3.47413867,12.3867529,-1.392895491
BBSP15,0.229839911,0.282662802,0.267944597,204.8456429,191.4108509,41.80555556,0.194833333,NA,NA,NA,NA,-1.261593893
BBSP16,0.296884219,0.481709402,0.445635564,26.63392173,177.859187,59.85,0.408333333,-34.811462,43.27239183,2.282109296,18.9615773,-1.633781205
BBSP18,0.251338901,0.316006594,0.312104693,56.53288566,236.1891056,47.6,0.173111111,-36.455462,37.80140688,2.135027709,17.7053472,-1.261541435
BBSP20,0.373922994,0.569248861,0.48493831,73.76288647,216.9995809,52.68888889,0.123222222,NA,NA,NA,NA,-1.529495317
BBSP23,0.213742443,0.284299242,0.261702247,45.14249018,315.4924894,36.33333333,0.145333333,-35.822462,39.6052621,2.60285286,15.21609719,-1.276859081
BBSP24,0.21368297,0.359503215,0.362530992,179.0060569,148.8972185,48.46666667,0.214833333,NA,NA,NA,NA,NA
BBSP25,0.356858845,0.463099274,0.442691258,167.6174177,170.8578915,54.95,0.143333333,NA,NA,NA,NA,NA
BBSP27,0.38476426,0.653326997,0.570735286,122.1578625,80.21808821,66.53333333,0.295277778,NA,NA,NA,NA,NA
BBSP28,0.382478689,0.761875806,0.59381492,20.57955537,189.4974516,57.04444444,0.116666667,NA,NA,NA,NA,NA
BBSP29,0.298440064,0.393333333,0.380645161,34.62652524,193.7618907,44.36666667,0.123666667,NA,NA,NA,NA,NA
BBSP30,0.470205115,0.848529412,0.618435155,59.53390884,180.4870285,44,0.142,-36.073462,46.14014377,1.643737838,28.07025713,-1.690225679
BBSP32,0.421475214,0.791711715,0.667078314,8.157625905,116.6023658,62.88333333,0.181277778,-34.141462,42.77682422,1.38158806,30.96206855,-1.720651139
BBSP33,0.231563647,0.464048308,0.407685189,84.45732201,197.7292834,53.11111111,0.155111111,-37.278462,39.54063288,2.157880244,18.32383099,-1.350929339
BBSP35,0.291600867,0.471416882,0.425004728,83.76970037,149.2160328,56.55555556,0.203388889,NA,NA,NA,NA,NA
BBSP36,0.323899903,0.506989418,0.441026113,40.81170654,251.816081,33.42222222,0.076666667,-34.623462,48.0622209,2.40712976,19.9666099,-1.515226825
BBSP38,0.387825866,0.629995547,0.575996234,76.99132665,190.9815194,52.8,0.085666667,NA,NA,NA,NA,NA
BBSP41,0.440741524,0.717694126,0.606876248,21.48072179,219.7581511,44.45555556,0.109222222,-35.309462,43.55371167,2.982096925,14.6050624,-1.579015376
BBSP42,0.339574961,0.240967121,0.239620897,38.96835645,248.4787151,40.52222222,0.121555556,-37.291462,40.06974342,2.257238411,17.75166647,-1.777305445
BBSP43,0.508582599,0.827002949,0.616817688,28.74454604,138.3685155,43.53333333,0.140444444,-34.357462,46.52177459,1.303383188,35.69309089,-1.380305646
BBSP45,0.244034106,0.266832466,0.273254376,45.41041508,224.3978884,37.71111111,0.1765,NA,NA,NA,NA,NA
BBSP46,0.34968505,0.616144253,0.561805162,128.2926369,189.5,33.73333333,0.113666667,-31.655462,45.44057306,2.119335576,21.44095233,-1.371282923
BBSP48,0.295936637,0.393550035,0.346267548,183.134012,181.3407041,51.03333333,0.240166667,NA,NA,NA,NA,NA
BBSP49,0.544548871,0.626812947,0.530381457,53.30294009,140.6090513,52.82222222,0.120222222,-36.957462,43.88735764,1.60700333,27.31006017,-1.379256492
BBSP53,0.336820893,0.590375485,0.517128732,59.3157391,193.4625534,47.18888889,0.159944444,NA,NA,NA,NA,NA
BBSP54,0.453818139,0.636599563,0.544110827,193.6746182,149.9180818,38.64444444,0.1525,NA,NA,NA,NA,-1.978113483
BBSP55,0.781144926,0.685278491,0.581733826,14.13137238,318.5348574,40.28888889,0.059333333,-35.598462,44.21806536,2.256364418,19.59704071,-1.706592478
BBSP58,0.226582258,0.376548255,0.411053383,126.3043073,171.8230006,52.21666667,0.224083333,NA,NA,NA,NA,NA
BBSP60,0.470219369,0.697565522,0.550858399,68.02335379,144.2217543,45.08888889,0.140111111,NA,NA,NA,NA,NA
BBSP61,0.421267339,0.470299972,0.429075191,54.59838528,272.1643377,42.43333333,0.094222222,NA,NA,NA,NA,NA
BBSP62,0.438290489,0.606638889,0.380249067,9.246799398,198.9528053,43.63333333,0.123833333,-35.534462,48.15005239,1.726673956,27.886013,-1.512499025
BBSP63,0.403490439,0.515823844,0.46417569,50.18252775,185.4600102,46.26666667,0.134555556,-39.520462,46.54070293,1.60385474,29.01802873,-1.449969458
BBSP64,0.189549169,0.306000047,0.275931995,53.24190776,271.0512592,50.62222222,0.172555556,NA,NA,NA,NA,NA
BBSP65,0.581733573,0.6,0.532667179,60.62284215,175.4082418,43.86666667,0.11,-34.885462,41.55130408,1.952083655,21.28561651,NA
BBSP66,0.519347037,0.622165815,0.525263266,17.96881443,216.9860662,43.64444444,0.125888889,NA,NA,NA,NA,NA
BBSP67,0.376887609,0.388083009,0.38501699,68.13805559,157.8764336,31.37222222,0.158888889,NA,NA,NA,NA,NA
BBSP68,0.471317404,0.619362455,0.558135555,60.80918969,137.0915693,51.23333333,0.175666667,-35.852462,39.69351067,1.613456204,24.60154206,-1.390167692
BBSP69,0.388636679,0.53508673,0.507963108,28.14164819,176.4839366,58.03333333,0.176555556,-35.488462,43.08136996,2.026286445,21.26124372,-1.70155654
BBSP71,0.411731157,0.463653288,0.449380677,100.2532623,131.1320122,61.74,0.174166667,-36.126462,39.95148313,1.779017633,22.4570473,-1.514177671
BBSP72,0.34100704,0.631113262,0.559483837,68.5036939,163.9471828,54,0.128333333,-34.922462,45.0500823,2.174699316,20.71554535,NA
BBSP73,0.505726778,0.668980415,0.59184143,42.68912209,148.435143,47.42222222,0.132888889,NA,NA,NA,NA,NA
BBSP75,0.305124896,0.520454545,0.46299407,34.90136433,220.1258491,27.1,0.113166667,NA,NA,NA,NA,NA
BBSP76,0.50309593,0.699135276,0.596252263,33.78312641,148.4502393,51.43333333,0.133888889,-33.755462,47.5492671,1.705641196,27.8776493,-1.568314007
BBSP77,0.492149648,0.593317484,0.517208406,4.517083139,206.3910953,53.23888889,0.119555556,-33.101462,50.88155819,2.679797473,18.98709089,-1.445982674
BBSP78,0.389877757,0.561557693,0.497743042,42.3189835,174.8841697,47.67222222,0.165888889,-33.617462,36.5366353,1.68269523,21.7131627,-1.155996563
BBSP81,0.236981657,0.314293248,0.30518819,180.1216405,189.4880727,46.03333333,0.288444444,NA,NA,NA,NA,NA
