ID,Species,avg_spwp,max_spwp
140,CC1,866.7777778,1124
141,C3,1128.444444,2455
142,CC2,2171.666667,2410
132,C5,1354.111111,4023
97,C6,1594.916667,2745
96,C7,4091.611111,4980
37,C8,1098.777778,1570
38,C9,535.2222222,795
149,CC3,1280,3234
82,CC4,755.2222222,1093
183,C10,940.5555556,1836
92,CC5,1069.222222,1338
73,CC6,3773.666667,4972
195,C12,832.3333333,1275
100,CC7,1497,4306
150,C13,893.5555556,1324
182,CC8,1025.222222,1695
181,C14,903.6666667,1310
43,CC9,958.2222222,1297
32,C15,804.1111111,1203
153,C16,1142.444444,1578
154,C17,1300,2346
46,C18,878.1111111,1525
57,C19,1132.333333,2013
55,C20,749.7777778,1123
56,C21,2278.444444,4818
47,C22,776,1197
49,CC10,952.4444444,1185
53,C23,902,1107
51,CC11,531.2222222,880
50,CC12,1578.625,4645
54,C26,821.5555556,1251
48,CC13,1066.111111,2292
52,C27,2520.555556,4974
126,C28,1266.888889,2020
118,CC14,980,1275
129,C29,2434.208333,5034
123,CC15,698.1111111,989
119,C30,636,879
121,CC16,938,1118
122,CC17,2062.666667,4875
120,C32,780.1111111,1211
127,C33,788.1111111,1392
125,CC18,961,1717
128,C34,1010.444444,1219
124,CC19,957.2222222,1270
101,CC20,621.5555556,1025
102,C37,1947.666667,2629
134,CC21,939.2222222,1220
147,C38,867.7777778,1151
145,C39,3057.777778,4988
148,C40,3000.888889,4997
146,C41,3140.666667,5020
99,C42,2198.333333,5032
61,C44,711.3333333,977
204,C45,1119.555556,1942
44,C46,951.8888889,1259
45,CC22,1118.291667,1907
177,CC23,1087.888889,1791
176,C49,3154.722222,4964
139,C50,3617.666667,4960
152,CC24,1067.222222,1510
216,C53,930.3333333,1288
90,C55,4282.055556,4943
71,CC25,930.4444444,1277
222,C57,2929.388889,4988
33,CC26,2342.722222,5040
133,CC27,844.3333333,1687
138,CC28,830.8888889,1557
28,C58,768.6666667,1073
74,CC29,730,1070
115,CC30,1073.777778,1350
41,C60,919.7777778,1267
232,C61,1651.777778,3809
233,C62,2492.333333,4323
158,C64,2038.266667,4943
160,C66,1176.888889,1540
159,C67,762.4444444,1155
161,C68,1280.222222,2100
137,C69,1084.555556,1391
187,C70,941.7777778,1713
228,CC31,4164.333333,5032
231,C73,765.3333333,1157
230,C74,880.2222222,1200
229,C75,760.1111111,1257
130,C77,1189.555556,2053
131,C78,751.6666667,1027
225,C79,850.3333333,1197
22,C80,1083.111111,2364
27,C81,856.2222222,1077
26,C82,1037.555556,1621
25,CC32,1347.888889,2066
23,C83,736.3333333,910
24,CC33,714.3333333,883
19,CC34,2123,2389
21,CC35,952.4444444,1151
20,C85,571.6666667,865
66,C86,942.5555556,1137
114,C89,3437.666667,4951
144,CC36,884.4444444,1151
81,CC37,749.1111111,1071
203,C90,2131.222222,5040
202,C91,1296.222222,1835
184,CC38,2241,4931
212,C94,1187.291667,3619
211,C95,1377.666667,2421
