file,season,hab,trait,n,loo
dry_spab_50_model_ind_full_Full_all.rda,dry,all,Full,28413,18017.301624216
dry_spab_50_model_ind_full_Full_ridge.rda,dry,ridge,Full,9256,5757.54706876833
dry_spab_50_model_ind_full_Full_slope.rda,dry,slope,Full,7957,4239.2499324431
dry_spab_50_model_ind_full_Full_valley.rda,dry,valley,Full,11200,8064.9525091149
dry_spab_50_model_ind_full_PC2_all.rda,dry,all,PC2,28413,17987.574086561
dry_spab_50_model_ind_full_PC2_ridge.rda,dry,ridge,PC2,9256,5720.17940216704
dry_spab_50_model_ind_full_PC2_slope.rda,dry,slope,PC2,7957,4230.64828878906
dry_spab_50_model_ind_full_PC2_valley.rda,dry,valley,PC2,11200,8026.95063657288
dry_spab_50_model_ind_full_PC3_all.rda,dry,all,PC3,28413,17986.079536295
dry_spab_50_model_ind_full_PC3_ridge.rda,dry,ridge,PC3,9256,5730.06294240704
dry_spab_50_model_ind_full_PC3_slope.rda,dry,slope,PC3,7957,4233.83607685929
dry_spab_50_model_ind_full_PC3_valley.rda,dry,valley,PC3,11200,8036.69510778423
dry_spab_50_model_ind_full_SDMC_all.rda,dry,all,SDMC,28413,18009.9204730326
dry_spab_50_model_ind_full_SDMC_ridge.rda,dry,ridge,SDMC,9256,5752.36207460837
dry_spab_50_model_ind_full_SDMC_slope.rda,dry,slope,SDMC,7957,4243.81012200412
dry_spab_50_model_ind_full_SDMC_valley.rda,dry,valley,SDMC,11200,8058.54598349364
dry_spab_50_model_ind_full_SLA_WD_TLP_all.rda,dry,all,SLA_WD_TLP,28413,17989.0992620789
dry_spab_50_model_ind_full_SLA_WD_TLP_ridge.rda,dry,ridge,SLA_WD_TLP,9256,5728.99852223167
dry_spab_50_model_ind_full_SLA_WD_TLP_slope.rda,dry,slope,SLA_WD_TLP,7957,4235.91771307999
dry_spab_50_model_ind_full_SLA_WD_TLP_valley.rda,dry,valley,SLA_WD_TLP,11200,8033.28234722705
dry_spab_50_model_ind_full_WD_all.rda,dry,all,WD,28413,18011.8430407632
dry_spab_50_model_ind_full_WD_ridge.rda,dry,ridge,WD,9256,5747.90684018814
dry_spab_50_model_ind_full_WD_slope.rda,dry,slope,WD,7957,4237.10062413207
dry_spab_50_model_ind_full_WD_valley.rda,dry,valley,WD,11200,8059.49853865173
rainy_spab_50_model_ind_full_Full_all.rda,rainy,all,Full,26069,15761.4341481112
rainy_spab_50_model_ind_full_Full_ridge.rda,rainy,ridge,Full,9082,6003.82040414759
rainy_spab_50_model_ind_full_Full_slope.rda,rainy,slope,Full,7643,4114.77312608639
rainy_spab_50_model_ind_full_Full_valley.rda,rainy,valley,Full,9344,5687.76962489593
rainy_spab_50_model_ind_full_PC2_all.rda,rainy,all,PC2,26069,15741.7186693808
rainy_spab_50_model_ind_full_PC2_ridge.rda,rainy,ridge,PC2,9082,5976.12628052972
rainy_spab_50_model_ind_full_PC2_slope.rda,rainy,slope,PC2,7643,4071.41106322272
rainy_spab_50_model_ind_full_PC2_valley.rda,rainy,valley,PC2,9344,5703.72617056304
rainy_spab_50_model_ind_full_PC3_all.rda,rainy,all,PC3,26069,15738.3061859483
rainy_spab_50_model_ind_full_PC3_ridge.rda,rainy,ridge,PC3,9082,5978.17725316468
rainy_spab_50_model_ind_full_PC3_slope.rda,rainy,slope,PC3,7643,4082.05971136151
rainy_spab_50_model_ind_full_PC3_valley.rda,rainy,valley,PC3,9344,5694.35223330126
rainy_spab_50_model_ind_full_SDMC_all.rda,rainy,all,SDMC,26069,15750.5868177508
rainy_spab_50_model_ind_full_SDMC_ridge.rda,rainy,ridge,SDMC,9082,5998.371889722
rainy_spab_50_model_ind_full_SDMC_slope.rda,rainy,slope,SDMC,7643,4103.74210850492
rainy_spab_50_model_ind_full_SDMC_valley.rda,rainy,valley,SDMC,9344,5693.51343288322
rainy_spab_50_model_ind_full_SLA_WD_TLP_all.rda,rainy,all,SLA_WD_TLP,26069,15741.7281745989
rainy_spab_50_model_ind_full_SLA_WD_TLP_ridge.rda,rainy,ridge,SLA_WD_TLP,9082,5979.92665496712
rainy_spab_50_model_ind_full_SLA_WD_TLP_slope.rda,rainy,slope,SLA_WD_TLP,7643,4074.89986438149
rainy_spab_50_model_ind_full_SLA_WD_TLP_valley.rda,rainy,valley,SLA_WD_TLP,9344,5693.56413913814
rainy_spab_50_model_ind_full_WD_all.rda,rainy,all,WD,26069,15760.1774488564
rainy_spab_50_model_ind_full_WD_ridge.rda,rainy,ridge,WD,9082,6004.80363642346
rainy_spab_50_model_ind_full_WD_slope.rda,rainy,slope,WD,7643,4108.27510887727
rainy_spab_50_model_ind_full_WD_valley.rda,rainy,valley,WD,9344,5688.76324335036
